Provinsi,Ibu Kota Wilayah,Luas Wilayah (km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Aceh,NaN,57956,3.02,363
Sumatera Utara,NaN,72981.23,3.81,229
Sumatera Barat,NaN,42012.89,2.19,218
Riau,NaN,87023.66,4.54,144
Jambi,NaN,50058.16,2.61,14
Sumatera Selatan,NaN,91592.43,4.78,24
Bengkulu,NaN,19919.33,1.04,9
Lampung,NaN,34623.8,1.81,172
Kepulauan Bangka Belitung,NaN,16424.06,0.86,507
Kepulauan Riau,NaN,8201.72,0.43,2025
DKI Jakarta,NaN,664.01,0.03,113
Jawa Barat,NaN,35377.76,1.85,30
Jawa Tengah,NaN,32800.69,1.71,71
DI Yogyakarta,NaN,3133.15,0.16,33
Jawa Timur,NaN,47803.49,2.49,403
Banten,NaN,9662.92,0.5,81
Bali,NaN,5780.06,0.3,34
Nusa Tenggara Barat,NaN,18572.32,0.97,504
Nusa Tenggara Timur,NaN,48718.1,2.54,600
Kalimantan Barat,NaN,147307,7.68,249
Kalimantan Tengah,NaN,153564.5,8.01,69
Kalimantan Selatan,NaN,38744.23,2.02,158
Kalimantan Timur,NaN,129066.64,6.74,243
Kalimantan Utara,NaN,75467.7,3.94,196
Sulawesi Utara,NaN,13892.47,0.72,329
Sulawesi Tengah,NaN,61841.29,3.23,1572
Sulawesi Selatan,NaN,46717.48,2.44,355
Sulawesi Tenggara,NaN,38067.7,1.99,590
Gorontalo,NaN,11257.07,0.59,127
Sulawesi Barat,NaN,16787.18,0.88,69
Maluku,NaN,46914.03,2.45,1337
Maluku Utara,NaN,31982.5,1.66,837
Papua Barat,NaN,102955.15,5.37,4514
Papua,NaN,319036.05,16.64,547
Indonesia,NaN,1916906.77,100,16766
,,,,
Catatan,,,,
"1 Berdasarkan Peraturan Menteri Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/Based on Minister of Home Affairs Regulation Number 72/2019, October 25, 2019",,,,
2 Kementerian Dalam Negeri tahun 2021/Ministry of Home Affairs 20212 Kementerian Dalam Negeri tahun 2021/Ministry of Home Affairs 2021,,,,
