38 Provinsi,,,
,Upah Rata - Rata Per Jam Pekerja Menurut Provinsi (Rupiah/Jam),,
,2021,2022,2023
ACEH,17037,16772,17585
SUMATERA UTARA,15486,15131,17609
SUMATERA BARAT,16630,15887,16694
RIAU,19144,18626,18413
JAMBI,16043,16042,17596
SUMATERA SELATAN,15873,15978,16273
BENGKULU,18271,16501,17410
LAMPUNG,15224,13218,13958
KEP. BANGKA BELITUNG,17692,18132,20141
KEP. RIAU,25736,23528,27640
DKI JAKARTA,30662,32685,42354
JAWA BARAT,19716,19038,21194
JAWA TENGAH,13072,12604,13381
DI YOGYAKARTA,15098,14916,16478
JAWA TIMUR,14789,15119,15155
BANTEN,24839,23880,24685
BALI,17662,16857,18521
NUSA TENGGARA BARAT,12992,11734,12933
NUSA TENGGARA TIMUR,16386,13012,14770
KALIMANTAN BARAT,16127,16337,19303
KALIMANTAN TENGAH,21040,19795,20257
KALIMANTAN SELATAN,18874,18661,18938
KALIMANTAN TIMUR,23943,22281,22509
KALIMANTAN UTARA,22972,20320,22366
SULAWESI UTARA,20963,18335,19270
SULAWESI TENGAH,20637,15890,16392
SULAWESI SELATAN,19217,17257,17776
SULAWESI TENGGARA,19302,17542,18884
GORONTALO,14613,14289,15138
SULAWESI BARAT,18072,14774,16387
MALUKU,21156,17006,17156
MALUKU UTARA,21131,18278,27078
PAPUA BARAT,29600,24128,25695
PAPUA,30382,24097,28570
INDONESIA,18089,17542,19027
