Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,COGS unit,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,66.47 $,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,13.75 $,5,3.82,80.22,3/8/2019,10:29,Cash,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,41.23 $,7,16.2155,340.5255,3/3/2019,13:23,Credit card,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,51.82 $,8,23.288,489.048,1/27/2019,20:33,Ewallet,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,80.27 $,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,76.0 $,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,66.09 $,6,20.652,433.692,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,66.94 $,10,36.78,772.38,2/24/2019,11:38,Ewallet,8.0
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,30.82 $,2,3.626,76.146,1/10/2019,17:15,Credit card,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,51.0 $,3,8.226,172.746,2/20/2019,13:27,Credit card,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,,12.89 $,4,2.896,60.816,2/6/2019,18:07,Ewallet,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,21.43 $,4,5.102,107.142,3/9/2019,17:03,Cash,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,41.79 $,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,38.01 $,10,21.595,453.495,2/7/2019,16:48,Ewallet,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,67.1 $,10,35.69,749.49,3/29/2019,19:21,Cash,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,79.66 $,6,28.116,590.436,1/15/2019,16:19,Cash,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,61.35 $,7,24.1255,506.6355,3/11/2019,11:03,Credit card,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,68.98 $,6,21.783,457.443,1/1/2019,10:39,Credit card,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,52.48 $,3,8.2005,172.2105,1/21/2019,18:00,Credit card,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,38.28 $,2,4.03,84.63,3/11/2019,15:30,Ewallet,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,79.16 $,5,21.51,451.71,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,80.06 $,3,13.197,277.137,3/5/2019,10:40,Ewallet,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,29.22 $,2,3.32,69.72,3/15/2019,12:20,Credit card,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,,30.07 $,5,8.64,181.44,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,84.2 $,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,6.0
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,48.38 $,8,21.036,441.756,3/22/2019,19:20,Credit card,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,30.17 $,1,1.676,35.196,2/8/2019,15:31,Cash,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,80.66 $,2,8.767,184.107,3/10/2019,12:17,Credit card,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,77.76 $,5,22.09,463.89,1/25/2019,19:48,Cash,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,22.65 $,9,11.2005,235.2105,3/15/2019,15:36,Cash,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,,80.01 $,5,23.5325,494.1825,2/25/2019,19:39,Credit card,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,71.04 $,9,35.1315,737.7615,1/28/2019,12:43,Cash,4.5
